File Name,nop,move,move-wide,move-object,move-result,move-result-wide,move-result-object,move-exception,return-void,return ,return-wide,return-object,const,const-wide,const-string,const-class,monitor-enter,monitor-exit,check-cast,instance-of,array-length,new-instance,new-array,filled-new-array,filled-new-array-range,fill-array-data,throw,goto,packed-switch,sparse-switch,cmpl-float,cmpg-float,cmpl-double ,cmp-long,if-ne,if-lt,if-ge,if-gt,if-le,if-eqz,if-nez,if-ltz,if-gez,if-gtz,if-lez,unused_3E,unused_3F,unused_40,unused_41,unused_42,unused_43,aget,aget-wide,aget-object,aget-boolean,aget-byte,aget-char,aget-short,aput,aput-wide,aput-object,aput-boolean,aput-byte,aput-char,aput-short,iget,iget-wide,iget-object,iget-boolean,iget-byte,iget-char,iget-short,iput,iput-wide,iput-object,iput-boolean,iput-byte,iput-char,iput-short,sget,sget-wide,sget-object,sget-boolean,sget-byte,sget-char,sget-short,sput,sput-wide,sput-object,sput-boolean,sput-byte,sput-char,sput-short,invoke-virtual,invoke-super,invoke-direct,invoke-static,invoke-interface,unused_73,invoke-interface-range,unused_79,unused_7A,neg-int,not-int,neg-long,not-long,neg-float,neg-double,int-to-long,int-to-float,int-to-double,long-to-int ,long-to-float,long-to-double,float-to-int,float-to-long,float-to-double,double-to-int,double-to-long,double-to-float,int-to-byte,int-to-char,int-to-short,add-long,sub-long,mul-long,div-long,rem-long,and-long,or-long,xor-long,shl-long,shr-long,ushr-long,add-float,sub-float,mul-float,div-float,rem-float,add-double,sub-double,mul-double,div-double,rem-double,mul-int,rem-int,and-int,or-int,xor-int,rem-int,and-int,or-int,xor-int,shl-int,shr-int,ushr-int,unused_E3,execute-inline,invoke-direct-empty,iget-quick,iget-wide-quick,iget-object-quick,iput-quick,iput-wide-quick,iput-object-quick,invoke-virtual-quick,invoke-super-quick,Family
00002d74a9faa53f5199c910b652ef09d3a7f6bd42b693755a233635c3ffb0f4,9,244,2,1256,787,79,3609,272,477,0,27,286,1320,58,2397,65,47,96,259,0,19,931,38,0,0,1,79,690,14,9,1,0,0,30,100,11,69,8,32,518,215,26,6,8,76,0,0,0,0,0,0,1,0,48,1,8,8,0,6,0,56,2,6,5,0,161,11,2201,28,0,0,0,118,14,738,52,0,0,0,24,0,375,2,0,0,0,23,0,179,3,0,0,0,4665,47,1124,1462,597,0,0,0,0,0,0,0,0,0,0,35,2,2,0,0,0,0,0,0,2,0,0,4,3,0,1,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,5,10,3,0,5,10,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,GinMaster
0000764713b286cfe7e8e76c7038c92312977712d9c5a86d504be54f3c1d025a,1,66,0,193,90,10,398,43,67,0,0,29,451,4,295,5,0,0,45,0,11,259,56,0,0,0,5,120,2,0,0,0,0,2,15,9,17,6,2,54,13,3,3,2,6,0,0,0,0,0,0,0,3,10,0,10,10,0,0,1,34,0,6,10,0,3,2,30,1,0,0,0,5,3,27,1,0,0,0,18,0,253,5,0,0,0,12,0,41,5,0,0,0,692,5,285,108,102,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,10,5,1,1,10,5,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,Opfake
00088e191503bbfbd5c56a789a71e8c718e42ea422ec73c760ee2de489e02b2e,0,0,0,6,12,0,54,7,33,0,0,1,41,1,32,1,0,0,5,0,0,21,0,0,0,0,0,16,2,0,0,0,0,0,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,3,0,0,0,1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,42,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FakeInstaller
0015ae7c27688d45f79170dcea16131ce557912a1a0c5f3b6b0465ee0774a452,12,311,6,468,519,12,834,172,261,0,0,73,1302,43,867,10,7,14,59,1,32,390,77,5,0,12,23,619,7,2,2,2,0,6,71,74,34,12,12,483,207,10,3,7,27,0,0,0,0,0,0,48,0,80,0,43,0,1,27,0,107,0,211,0,2,105,7,686,17,2,0,0,75,4,216,46,1,0,0,57,2,115,8,11,0,2,23,1,54,6,14,0,2,1724,37,605,382,118,0,0,0,0,0,0,0,0,2,0,4,24,10,0,0,0,7,0,1,14,0,0,26,2,7,1,1,2,0,3,8,0,0,0,7,0,5,4,9,8,0,0,0,10,2,0,21,1,25,9,0,1,25,9,0,14,4,3,0,0,0,0,0,0,0,0,0,0,0,DroidKungFu
001e0f67b5bb9ddab14facbef94791eaed0eb939bcb651d19dafd0e2a05d8178,48,937,51,1765,2262,131,4645,587,1266,0,16,467,4246,186,3849,36,25,50,385,12,97,1701,244,1,0,20,82,2076,72,8,20,18,0,28,221,156,75,20,47,1719,730,31,17,23,109,0,0,0,0,0,0,30,0,139,0,59,1,2,72,0,371,0,173,0,4,901,67,3401,108,2,0,0,434,61,1048,174,1,0,0,66,14,619,30,11,0,2,42,20,230,42,14,0,2,7129,143,2524,3139,684,0,0,0,0,0,0,0,0,6,0,24,129,31,0,2,1,78,0,9,37,1,12,33,8,8,12,13,7,5,3,8,0,0,0,7,0,15,21,86,45,4,4,0,25,4,0,78,10,48,18,1,10,48,18,1,33,6,6,0,0,0,0,0,0,0,0,0,0,0,DroidKungFu
003585f856a2a322e4a7a989a2bff0eb62e025aa9d2bcec53742f82c76d592e9,0,87,0,964,90,0,88,8,30,0,0,7,135,0,215,2,0,0,28,0,0,293,0,0,0,0,6,79,3,0,0,0,0,0,5,1,1,0,0,72,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,200,0,0,0,0,3,0,24,0,0,0,0,0,0,62,0,0,0,0,0,0,2,0,0,0,0,384,5,314,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FakeInstaller
00453ca8895fd43a2509e3b731ceef37a337fe61a36db3ece0f2952e3edeebc8,1,14,0,20,58,8,316,4,85,0,0,34,95,4,134,6,0,0,34,0,4,65,2,0,0,0,0,53,0,1,0,0,0,3,3,1,9,0,2,40,17,0,0,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,17,0,147,3,0,0,0,12,0,60,5,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,370,8,102,136,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FakeInstaller
004928e699609da4193131777e10cd2ce30c449031e37175ddfbed7ec8009598,70,740,5,1632,1345,45,1871,371,975,0,4,187,2217,71,2430,22,18,36,103,3,61,668,188,0,0,71,57,1258,15,6,9,4,0,8,140,92,54,16,22,1090,439,13,4,14,59,0,0,0,0,0,0,14,0,60,0,144,0,2,15,0,175,0,348,0,4,215,0,1105,54,8,0,0,146,0,403,80,7,0,0,106,11,337,22,16,0,4,85,7,311,16,22,0,4,3677,87,1364,1313,185,0,0,0,0,0,0,0,0,2,0,11,29,15,0,0,0,14,0,4,27,0,0,45,4,13,0,13,0,1,0,8,1,0,1,7,0,5,6,18,12,0,0,0,25,2,0,41,2,79,31,1,2,79,31,1,40,25,3,0,0,0,0,0,0,0,0,0,0,0,Kmin
004b3862f816f35464fe8f1e45d56628b299d32b25f47ed4d308251f4b250d19,1,98,7,224,76,4,184,24,57,0,1,12,231,26,116,2,0,0,55,0,17,46,66,0,0,1,0,111,0,0,0,0,0,6,25,11,20,0,0,37,24,9,1,1,3,0,0,0,0,0,0,1,3,9,0,7,0,0,1,1,19,0,0,0,0,14,2,75,25,0,0,0,34,4,45,18,0,0,0,28,0,55,6,0,0,0,16,0,10,7,0,0,0,300,1,64,72,51,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,1,0,0,20,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Opfake
004d92fbf197f97658f817f0d7ca7219729db23b8211a18f3c5a2bc0120e4c0d,1,19,0,93,109,8,511,13,115,0,0,63,152,4,235,6,0,0,53,0,4,127,2,0,0,0,0,91,0,1,0,0,0,3,3,1,17,1,5,64,26,0,0,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,21,0,223,3,0,0,0,17,0,92,5,0,0,0,0,0,27,0,0,0,0,0,0,11,0,0,0,0,601,8,195,181,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FakeInstaller
